topic_id,date,topic_order,title,section_type
2024-04-02-T-001,2024-04-02,1,Membership in House Committee and Public Petition Committee,OS
2024-04-02-T-002,2024-04-02,2,"Vaping Feedback Sent by Public, Educational Institutions, Police and Central Narcotics Bureau",OA
2024-04-02-T-003,2024-04-02,3,Classification Framework for SkillsFuture Courses,OA
2024-04-02-T-004,2024-04-02,4,Increasing Quantum and Income Ceiling of HDB's Open Market Rental Voucher Scheme for Lower-income Families and In Response to Higher Rentals,OA
2024-04-02-T-005,2024-04-02,5,Probe into Incident Where Private Military Conference Call at Singapore Hotel was Intercepted,OA
2024-04-02-T-006,2024-04-02,6,Anticipated Disamenities to Residents and Commuters Due To Reclamation of Land for Woodlands Checkpoint Expansion,OA
2024-04-02-T-007,2024-04-02,7,Factoring in Findings from Environmental Impact Studies for Development of Former Keppel Club and Gillman Barracks Sites,OA
2024-04-02-T-008,2024-04-02,8,ComCare Support for Those Who Do Not Stay in Public Rental Housing and Extension of ComLink+ To Them,OA
2024-04-02-T-009,2024-04-02,9,Employment and Deployment Restrictions on Healthcare Professionals Undergoing Investigations for Patient Abuse Charges,OA
2024-04-02-T-010,2024-04-02,10,Progress on Areas of Collaboration Identified during Inaugural Meeting of India-Singapore Ministerial Roundtable,OA
2024-04-02-T-011,2024-04-02,11,"Ensuring Bulk of New Jobs Created Will Go to Singapore Citizens and Residents, Including Those Above Age 40",OA
2024-04-02-T-012,2024-04-02,12,Character and Citizenship Education Lessons on Gaza Conflict,OA
2024-04-02-T-013,2024-04-02,13,Unveiling of Shared Responsibility Framework for Phishing Scams,OA
2024-04-02-T-014,2024-04-02,14,Goods and Services Tax (Amendment) Bill,BP
2024-04-02-T-015,2024-04-02,15,Law Enforcement and Other Matters Bill,BP
2024-04-02-T-016,2024-04-02,16,Mental Capacity (Amendment) Bill,BP
2024-04-02-T-017,2024-04-02,17,Co-operative Societies (Amendment) Bill,BP
2024-04-02-T-018,2024-04-02,18,Adjournment of Debate,OS
2024-04-02-T-019,2024-04-02,19,Building a Culture of Gender Equality,OS
