member_name,party,gender,earliest_sitting,latest_sitting,count_sittings_present,count_sittings_total
Abdul Samad,NMP,M,2021-02-01,2023-07-06,82,93
Alex Yam,PAP,M,2012-09-10,2024-01-10,326,343
Alvin Tan,PAP,M,2020-08-24,2024-01-10,110,119
Alvin Yeo,PAP,M,2012-09-10,2015-08-18,73,89
Amrin Amin,PAP,M,2016-01-15,2020-06-05,128,135
Amy Khor Lean Suan,PAP,F,2012-09-10,2024-01-10,320,343
Ang Hin Kee,PAP,M,2012-09-10,2020-06-05,211,224
Ang Wei Neng,PAP,M,2012-09-10,2024-01-10,338,343
Anthea Ong,NMP,F,2018-10-01,2020-06-05,53,53
Arasu Duraisamy,NMP,M,2018-10-01,2020-06-05,53,53
Arthur Fong,PAP,M,2012-09-10,2015-08-18,82,89
Azmoon Ahmad,NMP,M,2016-03-24,2018-09-10,49,73
Baey Yam Keng,PAP,M,2012-09-10,2024-01-10,336,343
Benedict Tan,NMP,M,2014-09-08,2015-08-18,26,30
Carrie Tan,PAP,F,2020-08-24,2024-01-10,109,119
Cedric Foo Chee Keng,PAP,M,2012-09-10,2020-06-05,198,224
Chan Chun Sing,PAP,M,2012-09-10,2024-01-10,340,343
Charles Chong,PAP,M,2012-09-10,2020-06-05,213,224
Chee Hong Tat,PAP,M,2016-01-15,2024-01-10,244,254
Chen Show Mao,WP,M,2012-09-10,2020-06-05,205,224
Cheng Hsing Yao,NMP,M,2021-02-01,2023-07-06,77,93
Cheng Li Hui,PAP,F,2016-01-15,2023-07-06,225,243
Cheryl Chan Wei Ling,PAP,F,2016-01-15,2024-01-10,224,254
Chia Shi-Lu,PAP,M,2012-09-10,2020-06-05,200,224
Chia Yong Yong,NMP,F,2014-09-08,2018-09-10,90,103
Chong Kee Hiong,PAP,M,2016-01-15,2024-01-10,241,254
Christopher de Souza,PAP,M,2012-09-10,2024-01-10,337,343
Chua Kheng Wee Louis,WP,M,2020-08-24,2024-01-10,112,119
Daniel Goh Pei Siong,WP,M,2016-02-29,2020-06-05,123,129
Darryl David,PAP,M,2016-01-15,2024-01-10,242,254
David Ong,PAP,M,2012-09-10,2016-03-01,88,97
Denise Phua Lay Peng,PAP,F,2012-09-10,2024-01-10,341,343
Dennis Tan Lip Fong,WP,M,2016-01-15,2024-01-10,251,254
Derrick Goh,PAP,M,2020-08-24,2024-01-10,118,119
Desmond Choo,PAP,M,2016-01-15,2024-01-10,251,254
Desmond Lee,PAP,M,2012-09-10,2024-01-10,320,343
Desmond Tan,PAP,M,2020-08-24,2024-01-10,112,119
Don Wee,PAP,M,2020-08-24,2024-01-10,117,119
Douglas Foo,NMP,M,2018-10-01,2020-06-05,42,53
Dr Muhammad Faishal Ibrahim,PAP,M,2012-09-10,2024-01-10,334,343
Dr Yaacob Ibrahim,PAP,M,2012-09-10,2019-02-18,167,181
Edward Chia Bing Hui,PAP,M,2020-08-24,2024-01-10,113,119
Edwin Tong Chun Fai,PAP,M,2012-09-10,2024-01-10,299,343
Ellen Lee,PAP,F,2012-09-10,2015-08-18,85,89
Eric Chua,PAP,M,2020-08-24,2024-01-10,113,119
Faizah Jamal,NMP,F,2012-09-10,2014-08-05,59,59
Fatimah Lateef,PAP,F,2012-09-10,2020-06-05,167,224
Foo Mee Har,PAP,F,2012-09-10,2024-01-10,317,343
Gan Kim Yong,PAP,M,2012-09-10,2024-01-10,331,343
Gan Siow Huang,PAP,F,2020-08-24,2024-01-10,114,119
Gan Thiam Poh,PAP,M,2012-09-10,2024-01-10,325,343
Ganesh Rajaram,NMP,M,2016-03-24,2018-09-10,55,73
Gerald Giam Yean Song,WP,M,2012-09-10,2024-01-10,206,208
Goh Chok Tong,PAP,M,2012-09-10,2020-06-05,207,224
Grace Fu Hai Yien,PAP,F,2012-09-10,2024-01-10,313,343
Halimah Yacob,PAP,F,2012-09-10,2017-08-01,136,138
Hany Soh,PAP,F,2020-08-24,2024-01-10,108,119
Hawazi Daipi,PAP,M,2012-09-10,2015-08-18,80,89
Hazel Poa,PSP,F,2020-08-24,2024-01-10,106,119
He Ting Ru,WP,F,2020-08-24,2024-01-10,91,119
Heng Chee How,PAP,M,2012-09-10,2024-01-10,334,343
Heng Swee Keat,PAP,M,2012-09-10,2024-01-10,299,343
Hoon Hian Teck,NMP,M,2021-02-01,2023-07-06,84,93
Hri Kumar Nair,PAP,M,2012-09-10,2015-08-18,81,89
Inderjit Singh,PAP,M,2012-09-10,2015-08-18,75,89
Indranee Rajah,PAP,F,2012-09-10,2024-01-10,329,343
Intan Azura Mokhtar,PAP,F,2012-09-10,2020-06-05,211,224
Irene Ng Phek Hoong,PAP,F,2012-09-10,2015-08-18,72,89
Irene Quay Siew Ching,NMP,F,2018-10-01,2020-06-05,43,53
