date,member_name,is_present
2012-09-10,,False
2012-09-10,Ang Hin Kee,True
2012-09-10,Ang Wei Neng,True
2012-09-10,Baey Yam Keng,True
2012-09-10,Chan Chun Sing,True
2012-09-10,Chen Show Mao,True
2012-09-10,Chia Shi-Lu,True
2012-09-10,Lina Chiam,True
2012-09-10,Charles Chong,True
2012-09-10,Christopher de Souza,True
2012-09-10,R Dhinakaran,True
2012-09-10,Faizah Jamal,True
2012-09-10,Nicholas Fang,True
2012-09-10,Fatimah Lateef,True
2012-09-10,Arthur Fong,True
2012-09-10,Cedric Foo Chee Keng,True
2012-09-10,Foo Mee Har,True
2012-09-10,Grace Fu Hai Yien,True
2012-09-10,Gan Kim Yong,True
2012-09-10,Gan Thiam Poh,True
2012-09-10,Gerald Giam Yean Song,True
2012-09-10,Halimah Yacob,True
2012-09-10,Heng Chee How,True
2012-09-10,Heng Swee Keat,True
2012-09-10,Hri Kumar Nair,True
2012-09-10,Inderjit Singh,True
2012-09-10,Intan Azura Mokhtar,True
2012-09-10,S Iswaran,True
2012-09-10,Janil Puthucheary,True
2012-09-10,Khaw Boon Wan,True
2012-09-10,Amy Khor Lean Suan,True
2012-09-10,Janice Koh,True
2012-09-10,Lee Bee Wah,True
2012-09-10,Desmond Lee,True
2012-09-10,Ellen Lee,True
2012-09-10,Lee Hsien Loong,True
2012-09-10,Lee Kuan Yew,True
2012-09-10,Lee Yi Shyan,True
2012-09-10,Liang Eng Hwa,True
2012-09-10,Mary Liew,True
2012-09-10,Lim Biow Chuan,True
2012-09-10,Raymond Lim Siang Keat,True
2012-09-10,Lim Swee Say,True
2012-09-10,Sylvia Lim,True
2012-09-10,Lim Wee Kiak,True
2012-09-10,Low Thia Khiang,True
2012-09-10,Low Yen Ling,True
2012-09-10,Lui Tuck Yew,True
2012-09-10,Mah Bow Tan,True
2012-09-10,Masagos Zulkifli B M M,True
2012-09-10,Mohamad Maliki Bin Osman,True
2012-09-10,Muhamad Faisal Bin Abdul Manap,True
2012-09-10,Dr Muhammad Faishal Ibrahim,True
2012-09-10,Lily Neo,True
2012-09-10,David Ong,True
2012-09-10,Ong Teng Koon,True
2012-09-10,Denise Phua Lay Peng,True
2012-09-10,Png Eng Huat,True
2012-09-10,Pritam Singh,True
2012-09-10,Seah Kian Peng,True
2012-09-10,Seng Han Thong,True
2012-09-10,Sim Ann,True
2012-09-10,Sitoh Yih Pin,True
2012-09-10,Tan Chuan-Jin,True
2012-09-10,Tan Kheng Boon Eugene,True
2012-09-10,Jessica Tan Soon Neo,True
2012-09-10,Tan Su Shan,True
2012-09-10,Patrick Tay Teck Guan,True
2012-09-10,Teo Chee Hean,True
2012-09-10,Teo Ho Pin,True
2012-09-10,Josephine Teo,True
2012-09-10,Teo Ser Luck,True
2012-09-10,Teo Siong Seng,True
2012-09-10,Tharman Shanmugaratnam,True
2012-09-10,Tin Pei Ling,True
2012-09-10,Edwin Tong Chun Fai,True
2012-09-10,Vikram Nair,True
2012-09-10,Vivian Balakrishnan,True
2012-09-10,Wong Kan Seng,True
2012-09-10,Lawrence Wong,True
2012-09-10,Dr Yaacob Ibrahim,True
2012-09-10,Alex Yam,True
2012-09-10,Yee Jenn Jong,True
2012-09-10,Alvin Yeo,True
2012-09-10,Zainal Sapari,True
2012-09-10,Zainudin Nordin,True
2012-09-10,Zaqy Mohamad,True
2012-09-10,Goh Chok Tong,False
2012-09-10,Hawazi Daipi,False
2012-09-10,Indranee Rajah,False
2012-09-10,Lam Pin Min,False
2012-09-10,Laurence Lien,False
2012-09-10,Lim Hng Kiang,False
2012-09-10,Penny Low,False
2012-09-10,Ng Eng Hen,False
2012-09-10,Irene Ng Phek Hoong,False
2012-09-10,K Shanmugam,False
2012-09-10,Sam Tan Chin Siong,False
2012-09-10,Yeo Guat Kwang,False
2012-09-11,Cedric Foo Chee Keng,False
2012-09-11,Goh Chok Tong,False
2012-09-11,Halimah Yacob,False
2012-09-11,Hawazi Daipi,False
2012-09-11,Heng Swee Keat,False
2012-09-11,Indranee Rajah,False
2012-09-11,S Iswaran,False
2012-09-11,Janice Koh,False
2012-09-11,Lam Pin Min,False
2012-09-11,Lee Kuan Yew,False
2012-09-11,Laurence Lien,False
2012-09-11,Raymond Lim Siang Keat,False
2012-09-11,Penny Low,False
2012-09-11,Mah Bow Tan,False
2012-09-11,Ng Eng Hen,False
2012-09-11,Irene Ng Phek Hoong,False
2012-09-11,K Shanmugam,False
2012-09-11,Sam Tan Chin Siong,False
2012-09-11,Teo Ser Luck,False
2012-09-11,Yee Jenn Jong,False
2012-09-11,Alvin Yeo,False
2012-09-11,Michael Palmer,True
2012-09-11,Ang Hin Kee,True
2012-09-11,Ang Wei Neng,True
2012-09-11,Baey Yam Keng,True
2012-09-11,Chan Chun Sing,True
2012-09-11,Chen Show Mao,True
2012-09-11,Chia Shi-Lu,True
2012-09-11,Lina Chiam,True
2012-09-11,Charles Chong,True
2012-09-11,Christopher de Souza,True
2012-09-11,R Dhinakaran,True
2012-09-11,Faizah Jamal,True
2012-09-11,Nicholas Fang,True
2012-09-11,Fatimah Lateef,True
2012-09-11,Arthur Fong,True
2012-09-11,Foo Mee Har,True
2012-09-11,Grace Fu Hai Yien,True
2012-09-11,Gan Kim Yong,True
2012-09-11,Gan Thiam Poh,True
2012-09-11,Gerald Giam Yean Song,True
2012-09-11,Heng Chee How,True
2012-09-11,Hri Kumar Nair,True
2012-09-11,Inderjit Singh,True
2012-09-11,Intan Azura Mokhtar,True
2012-09-11,Janil Puthucheary,True
2012-09-11,Khaw Boon Wan,True
2012-09-11,Amy Khor Lean Suan,True
2012-09-11,Lee Bee Wah,True
2012-09-11,Desmond Lee,True
2012-09-11,Ellen Lee,True
2012-09-11,Lee Hsien Loong,True
2012-09-11,Lee Yi Shyan,True
2012-09-11,Liang Eng Hwa,True
2012-09-11,Mary Liew,True
2012-09-11,Lim Biow Chuan,True
2012-09-11,Lim Hng Kiang,True
2012-09-11,Lim Swee Say,True
2012-09-11,Sylvia Lim,True
2012-09-11,Lim Wee Kiak,True
2012-09-11,Low Thia Khiang,True
2012-09-11,Low Yen Ling,True
2012-09-11,Lui Tuck Yew,True
2012-09-11,Masagos Zulkifli B M M,True
2012-09-11,Mohamad Maliki Bin Osman,True
2012-09-11,Muhamad Faisal Bin Abdul Manap,True
2012-09-11,Dr Muhammad Faishal Ibrahim,True
2012-09-11,Lily Neo,True
2012-09-11,David Ong,True
2012-09-11,Ong Teng Koon,True
2012-09-11,Denise Phua Lay Peng,True
2012-09-11,Png Eng Huat,True
2012-09-11,Pritam Singh,True
2012-09-11,Seah Kian Peng,True
2012-09-11,Seng Han Thong,True
2012-09-11,Sim Ann,True
2012-09-11,Sitoh Yih Pin,True
2012-09-11,Tan Chuan-Jin,True
2012-09-11,Tan Kheng Boon Eugene,True
2012-09-11,Jessica Tan Soon Neo,True
2012-09-11,Tan Su Shan,True
2012-09-11,Patrick Tay Teck Guan,True
2012-09-11,Teo Chee Hean,True
2012-09-11,Teo Ho Pin,True
2012-09-11,Josephine Teo,True
2012-09-11,Teo Siong Seng,True
2012-09-11,Tharman Shanmugaratnam,True
2012-09-11,Tin Pei Ling,True
2012-09-11,Edwin Tong Chun Fai,True
2012-09-11,Vikram Nair,True
2012-09-11,Vivian Balakrishnan,True
2012-09-11,Wong Kan Seng,True
2012-09-11,Lawrence Wong,True
2012-09-11,Dr Yaacob Ibrahim,True
2012-09-11,Alex Yam,True
2012-09-11,Yeo Guat Kwang,True
2012-09-11,Zainal Sapari,True
2012-09-11,Zainudin Nordin,True
2012-09-11,Zaqy Mohamad,True
2012-10-15,Goh Chok Tong,False
2012-10-15,Inderjit Singh,False
2012-10-15,Amy Khor Lean Suan,False
2012-10-15,Lim Wee Kiak,False
2012-10-15,Irene Ng Phek Hoong,False
2012-10-15,Seng Han Thong,False
2012-10-15,Sam Tan Chin Siong,False
2012-10-15,Teo Ho Pin,False
2012-10-15,Tharman Shanmugaratnam,False
2012-10-15,Tin Pei Ling,False
2012-10-15,Michael Palmer,True
2012-10-15,Ang Hin Kee,True
2012-10-15,Ang Wei Neng,True
2012-10-15,Baey Yam Keng,True
2012-10-15,Chan Chun Sing,True
2012-10-15,Chen Show Mao,True
2012-10-15,Chia Shi-Lu,True
2012-10-15,Lina Chiam,True
2012-10-15,Charles Chong,True
2012-10-15,Christopher de Souza,True
2012-10-15,R Dhinakaran,True
2012-10-15,Faizah Jamal,True
2012-10-15,Nicholas Fang,True
2012-10-15,Fatimah Lateef,True
2012-10-15,Arthur Fong,True
2012-10-15,Cedric Foo Chee Keng,True
2012-10-15,Foo Mee Har,True
2012-10-15,Grace Fu Hai Yien,True
2012-10-15,Gan Kim Yong,True
2012-10-15,Gan Thiam Poh,True
2012-10-15,Gerald Giam Yean Song,True
2012-10-15,Halimah Yacob,True
2012-10-15,Hawazi Daipi,True
2012-10-15,Heng Chee How,True
2012-10-15,Heng Swee Keat,True
2012-10-15,Hri Kumar Nair,True
2012-10-15,Indranee Rajah,True
2012-10-15,Intan Azura Mokhtar,True
2012-10-15,S Iswaran,True
2012-10-15,Janil Puthucheary,True
2012-10-15,Khaw Boon Wan,True
2012-10-15,Janice Koh,True
2012-10-15,Lam Pin Min,True
2012-10-15,Lee Bee Wah,True
2012-10-15,Desmond Lee,True
2012-10-15,Ellen Lee,True
2012-10-15,Lee Hsien Loong,True
2012-10-15,Lee Kuan Yew,True
2012-10-15,Lee Yi Shyan,True
2012-10-15,Liang Eng Hwa,True
2012-10-15,Laurence Lien,True
2012-10-15,Mary Liew,True
2012-10-15,Lim Biow Chuan,True
2012-10-15,Lim Hng Kiang,True
2012-10-15,Raymond Lim Siang Keat,True
2012-10-15,Lim Swee Say,True
2012-10-15,Sylvia Lim,True
2012-10-15,Penny Low,True
2012-10-15,Low Thia Khiang,True
2012-10-15,Low Yen Ling,True
2012-10-15,Lui Tuck Yew,True
2012-10-15,Mah Bow Tan,True
2012-10-15,Masagos Zulkifli B M M,True
2012-10-15,Mohamad Maliki Bin Osman,True
2012-10-15,Muhamad Faisal Bin Abdul Manap,True
2012-10-15,Dr Muhammad Faishal Ibrahim,True
2012-10-15,Lily Neo,True
2012-10-15,Ng Eng Hen,True
2012-10-15,David Ong,True
2012-10-15,Ong Teng Koon,True
2012-10-15,Denise Phua Lay Peng,True
2012-10-15,Png Eng Huat,True
2012-10-15,Pritam Singh,True
2012-10-15,Seah Kian Peng,True
2012-10-15,K Shanmugam,True
2012-10-15,Sim Ann,True
2012-10-15,Sitoh Yih Pin,True
2012-10-15,Tan Chuan-Jin,True
2012-10-15,Tan Kheng Boon Eugene,True
2012-10-15,Jessica Tan Soon Neo,True
2012-10-15,Tan Su Shan,True
2012-10-15,Patrick Tay Teck Guan,True
2012-10-15,Teo Chee Hean,True
2012-10-15,Josephine Teo,True
2012-10-15,Teo Ser Luck,True
2012-10-15,Teo Siong Seng,True
