date,datetime,parliament,session,volume,sittings
2012-09-10,2012-09-10T13:30:00,12,1,89,6
2012-09-11,2012-09-11T13:30:00,12,1,89,7
2012-10-15,2012-10-15T13:30:00,12,1,89,8
2012-10-16,2012-10-16T13:30:00,12,1,89,9
2012-11-12,2012-11-12T13:30:00,12,1,89,10
2012-11-14,2012-11-14T12:00:00,12,1,89,11
2012-11-15,2012-11-15T12:00:00,12,1,89,12
2012-11-16,2012-11-16T13:30:00,12,1,89,13
2013-01-14,2013-01-14T13:30:00,12,1,90,1
2013-02-04,2013-02-04T13:30:00,12,1,90,2
2013-02-05,2013-02-05T12:30:00,12,1,90,3
2013-02-06,2013-02-06T12:30:00,12,1,90,4
2013-02-07,2013-02-07T12:30:00,12,1,90,5
2013-02-08,2013-02-08T12:30:00,12,1,90,6
2013-02-25,2013-02-25T13:30:00,12,1,90,7
2013-03-05,2013-03-05T12:00:00,12,1,90,8
2013-03-06,2013-03-06T12:00:00,12,1,90,9
2013-03-07,2013-03-07T12:00:00,12,1,90,10
2013-03-08,2013-03-08T12:00:00,12,1,90,11
2013-03-11,2013-03-11T11:00:00,12,1,90,12
2013-03-12,2013-03-12T11:00:00,12,1,90,13
2013-03-13,2013-03-13T11:00:00,12,1,90,14
2013-03-14,2013-03-14T11:00:00,12,1,90,15
2013-03-15,2013-03-15T11:00:00,12,1,90,16
2013-04-08,2013-04-08T13:30:00,12,1,90,17
2013-05-13,2013-05-13T13:30:00,12,1,90,18
2013-07-08,2013-07-08T13:30:00,12,1,90,19
2013-07-09,2013-07-09T13:30:00,12,1,90,20
2013-08-12,2013-08-12T13:30:00,12,1,90,21
2013-09-16,2013-09-16T13:30:00,12,1,90,22
2013-10-21,2013-10-21T13:30:00,12,1,90,23
2013-11-11,2013-11-11T13:30:00,12,1,90,24
2013-11-12,2013-11-12T13:30:00,12,1,90,25
2014-01-20,2014-01-20T13:30:00,12,1,91,1
2014-01-21,2014-01-21T13:30:00,12,1,91,2
2014-02-17,2014-02-17T13:30:00,12,1,91,3
2014-02-18,2014-02-18T13:30:00,12,1,91,4
2014-02-21,2014-02-21T14:30:00,12,1,91,5
2014-03-03,2014-03-03T12:00:00,12,1,91,6
2014-03-04,2014-03-04T12:00:00,12,1,91,7
2014-03-05,2014-03-05T12:00:00,12,1,91,8
2014-03-06,2014-03-06T11:30:00,12,1,91,9
2014-03-07,2014-03-07T11:30:00,12,1,91,10
2014-03-10,2014-03-10T11:30:00,12,1,91,11
2014-03-11,2014-03-11T11:30:00,12,1,91,12
2014-03-12,2014-03-12T11:30:00,12,1,91,13
2014-03-13,2014-03-13T11:30:00,12,1,91,14
2014-04-14,2014-04-14T13:30:00,12,1,91,15
2014-05-16,2014-05-16T20:30:00,12,2,92,1
2014-05-26,2014-05-26T13:30:00,12,2,92,2
2014-05-27,2014-05-27T13:30:00,12,2,92,3
2014-05-28,2014-05-28T13:30:00,12,2,92,4
2014-05-29,2014-05-29T13:30:00,12,2,92,5
2014-05-30,2014-05-30T13:30:00,12,2,92,6
