Date,MP_Name,Original_MP_Name,Attendance
2022-02-18,Tan Chuan-Jin,Mr SPEAKER (Mr Tan Chuan-Jin (Marine Parade)).,False
2022-02-18,Ng Eng Hen,"Dr Ng Eng Hen (Bishan-Toa Payoh), Minister for Defence.",False
2022-02-18,Tan Yia Swam,Dr Tan Yia Swam (Nominated Member).,False
2022-02-18,Patrick Tay Teck Guan,Mr Patrick Tay Teck Guan (Pioneer).,False
2022-02-18,Teo Chee Hean,"Mr Teo Chee Hean (Pasir Ris-Punggol), Senior Minister and Coordinating Minister for National Security.",False
2022-02-18,Abdul Samad,Mr Abdul Samad (Nominated Member). ,True
2022-02-18,Janet Ang,Ms Janet Ang (Nominated Member). ,True
2022-02-18,Ang Wei Neng,Mr Ang Wei Neng (West Coast). ,True
2022-02-18,Baey Yam Keng,"Mr Baey Yam Keng (Tampines), Senior Parliamentary Secretary to the Minister for Transport. ",True
2022-02-18,Chan Chun Sing,"Mr Chan Chun Sing (Tanjong Pagar), Minister for Education. ",True
2022-02-18,Cheryl Chan Wei Ling,Miss Cheryl Chan Wei Ling (East Coast). ,True
2022-02-18,Mark Chay,Mr Mark Chay (Nominated Member). ,True
2022-02-18,Chee Hong Tat,"Mr Chee Hong Tat (Bishan-Toa Payoh), Senior Minister of State for Transport. ",True
2022-02-18,Cheng Hsing Yao,Mr Cheng Hsing Yao (Nominated Member). ,True
2022-02-18,Cheng Li Hui,Miss Cheng Li Hui (Tampines). ,True
2022-02-18,Edward Chia Bing Hui,Mr Edward Chia Bing Hui (Holland-Bukit Timah). ,True
2022-02-18,Chong Kee Hiong,Mr Chong Kee Hiong (Bishan-Toa Payoh). ,True
2022-02-18,Desmond Choo,Mr Desmond Choo (Tampines). ,True
2022-02-18,Eric Chua,"Mr Eric Chua (Tanjong Pagar), Parliamentary Secretary to the Ministers for Culture, Community and Youth and Social and Family Development. ",True
2022-02-18,Chua Kheng Wee Louis,Mr Chua Kheng Wee Louis (Sengkang). ,True
2022-02-18,Darryl David,Mr Darryl David (Ang Mo Kio). ,True
2022-02-18,Christopher de Souza,"Mr Christopher de Souza (Holland-Bukit Timah), Deputy Speaker. ",True
2022-02-18,Foo Mee Har,Ms Foo Mee Har (West Coast). ,True
