speech_id,topic_id,speech_order,member_name,text
2013-11-11-T-001-S-00001,2013-11-11-T-001,1,Christopher de Souza,"asked the Deputy Prime Minister and Minister for Home Affairs if he can provide an update on the findings of the Inter-Agency Task Force on Trafficking in Persons, in particular, how such trafficking can be deterred in or through Singapore."
2013-11-11-T-001-S-00002,2013-11-11-T-001,2,Masagos Zulkifli B M M,"Mdm Speaker, trafficking in Persons, or TIP in short, is a transnational crime where vulnerable individuals are recruited and conveyed, often through coercive or deceitful means, for the purpose of exploitation. While TIP can affect anyone, it mainly involves women and young children. Singapore is seen as an attractive destination by human trafficking syndicates due to the perception of potential monetary gains."
2013-11-11-T-001-S-00003,2013-11-11-T-001,3,Masagos Zulkifli B M M,"Recognising this threat, MHA, MOM and other agencies set up an Inter-Agency Task Force against Trafficking in Persons in 2010, with the aim of implementing whole-of-Government strategies to combat TIP more effectively."
2013-11-11-T-001-S-00004,2013-11-11-T-001,4,Masagos Zulkifli B M M,"Since its formation, the Task Force has made substantial progress. Notably, it launched a National Plan of Action last year which focuses on"
2013-11-11-T-001-S-00005,2013-11-11-T-001,5,Masagos Zulkifli B M M,(a) prevention of the crime;
2013-11-11-T-001-S-00006,2013-11-11-T-001,6,Masagos Zulkifli B M M,(b) protection of victims;
2013-11-11-T-001-S-00007,2013-11-11-T-001,7,Masagos Zulkifli B M M,(c) partnership with stakeholders; and
2013-11-11-T-001-S-00008,2013-11-11-T-001,8,Masagos Zulkifli B M M,(d) prosecution of offenders.
2013-11-11-T-001-S-00009,2013-11-11-T-001,9,Masagos Zulkifli B M M,"Prevention of TIP. In terms of prevention, our tight border control measures deter perpetrators from trafficking persons into Singapore. Frontline officers are trained to identify victims. Raising public awareness is another key thrust of prevention. In January this year, the Task Force established a grant of up to $80,000 per year to co-fund public awareness initiatives. This is supplemented by other efforts, such as publicising TIP cases through the media."
2013-11-11-T-001-S-00010,2013-11-11-T-001,10,Masagos Zulkifli B M M,"Partnership with stakeholders. Working with strategic partners to multiply our efforts on the ground is another limb of Singapore's anti-trafficking strategy. At the international level, we partner other countries – whether source, transit or destination – to break the vicious cycle in human trafficking. This includes joint efforts to tackle organised crime that profit from the exploitation of the vulnerable. Indeed, while Singapore has worked hard and continue to do so, source countries, too, have the responsibility to uplift conditions so that their citizens will not have to resort to desperate and risky ventures. Source countries should not depend solely on downstream measures to address this scourge."
2013-11-11-T-001-S-00011,2013-11-11-T-001,11,Masagos Zulkifli B M M,"We will also work closely with foreign counterparts to exchange information and organise capacity-building workshops to increase law enforcement knowledge. In addition, the Task Force regularly engages and partners Non-Government Organisations to provide victim care and services."
2013-11-11-T-001-S-00012,2013-11-11-T-001,12,Masagos Zulkifli B M M,"Thirdly, protection of victims. The protection of the well-being of victims is particularly critical, especially those who may have been abused. Victims are provided with temporary shelter, food, counselling and medical assistance as appropriate. We are studying the need to have more victim-centric measures to aid the victims in their recovery."
2013-11-11-T-001-S-00013,2013-11-11-T-001,13,Masagos Zulkifli B M M,"Lastly, prosecution. To deter trafficking in persons, Singapore relies on tough laws and the effective prosecution of offenders. The Attorney-General's Chambers (AGC), Police and MOM have specialist teams to handle TIP investigations and prosecution."
2013-11-11-T-001-S-00014,2013-11-11-T-001,14,Masagos Zulkifli B M M,"The Task Force has also been actively reviewing domestic legislation to ensure they are relevant and effective for combating trafficking offences. While we have provisions in various laws to criminalise trafficking acts, our review has confirmed the need for a dedicated law to combat trafficking."
2013-11-11-T-001-S-00015,2013-11-11-T-001,15,Masagos Zulkifli B M M,"This will bring several benefits. First, it allows us to put in place a consistent and forward-looking framework to deal with all types of TIP offences. Second, we equip agencies with the necessary levers to deal with the different modus operandi of TIP criminal groups. Third, this would clearly reflect Singapore's commitment to fight TIP to the global community and align us to international standards."
2013-11-11-T-001-S-00016,2013-11-11-T-001,16,Masagos Zulkifli B M M,"Mdm Speaker, the Task Force has made good progress in tackling human trafficking. It will continue to advance initiatives under the National Plan of Action. At the same time, the Task Force will work to enhance international cooperation so that countries may collectively tackle this global threat."
2013-11-11-T-001-S-00017,2013-11-11-T-001,17,Speaker,Mr de Souza.
2013-11-11-T-001-S-00018,2013-11-11-T-001,18,Christopher de Souza,"Mdm Speaker, I thank the Senior Minister of State for the response. I believe there should be zero tolerance for human trafficking, especially the trafficking of minors. What is needed is a dedicated piece of legislation to criminalise the trafficking of persons and minors for the purpose of sexual exploitation, forced incarceration, slave labour and forced organ trafficking. Such legislation will enhance Singapore's arsenal to combat trafficking in and through Singapore."
2013-11-11-T-001-S-00019,2013-11-11-T-001,19,Christopher de Souza,"Therefore, Mdm Speaker, I have drafted a proposed private Member's Bill on the prevention of human trafficking and I would like to know MHA's position, as to whether it would be open to working with me, in partnership, on this private Member's Bill for me to better understand the needs of the investigative and enforcement officers on the ground, and what legal powers and tools they need to ensure that we can deter this strongly, potently, through a dedicated piece of legislation, for example, like what we have in the Misuse of Drugs Act. I have brought it here today, in Parliament. It is a ""work in progress"" and I wanted to know whether there can be some collaboration from the Government."
