Topic_CID,Original_MP_Name,MP_Name,Text,Seq,Speech_Order,Speech_CID
2015-02-13-T-001,Lee Bee Wah,Er Dr Lee Bee Wah,asked the Minister for Transport (a) how are the public transport operators' recent fare increments derived; (b) whether the Ministry has plans to revise the fare increments computation formula; and (c) whether the fares has to be revised annually.,1,1,2015-02-13-T-001-S-00001
2015-02-13-T-001,Lee Bee Wah,Er Dr Lee Bee Wah,"asked the Minister for Transport (a) with the sharp drop in oil prices, why are the public transport operators allowed to raise their fares; (b) how much will these operators benefit from the fall in oil prices; and (c) why are these operators not absorbing the 2.8% increase carried over from 2014 given that they are running profitably.",1,2,2015-02-13-T-001-S-00002
2015-02-13-T-001,Lui Tuck Yew,The Minister for Transport (Mr Lui Tuck Yew),"Madam, with your permission, may I take Question Nos 1 and 2 together, please?",1,3,2015-02-13-T-001-S-00003
2015-02-13-T-001,Speaker,Mdm Speaker,"Yes, please.",1,4,2015-02-13-T-001-S-00004
2015-02-13-T-001,Lui Tuck Yew,Mr Lui Tuck Yew,"Mdm Speaker, fare adjustments are guided by the fare adjustment formula and process recommended by the Fare Review Mechanism Committee (FRMC) and was accepted by the Government in 2013. The formula is pegged to changes in the Core Consumer Price Index, Wage Index and Energy Index over the preceding year, less 0.5% for productivity gains. The Core Consumer Price Index and the Wage Index constitute 40% each of the fare formula. The Energy Index, constitute the remaining 20%.",1,5,2015-02-13-T-001-S-00005
2015-02-13-T-001,Lui Tuck Yew,Mr Lui Tuck Yew,"The formula broadly reflects the operating cost structure for the public transport operators. The Fare Review Mechanism Committee had also recommended that fare review exercises be conducted annually. This is so that commuters do not have to endure a sudden, large fare adjustment after a few years. This formula and process for fare adjustment is valid for five years, until 2017, and we will review it again thereafter.",2,6,2015-02-13-T-001-S-00006
2015-02-13-T-001,Lui Tuck Yew,Mr Lui Tuck Yew,"Er Dr Lee has asked how the recent 2.8% fare increment was derived and why fares were increased despite the sharp drop in oil prices. Er Dr Lee will recall that the full fare adjustment quantum considered by the Public Transport Council (PTC) in the 2013 fare review exercise was actually 6.6%. So, they considered 6.6% for the 2013 fare review exercise. But the PTC was mindful of the impact of a large fare increase on commuters, and so, the Council decided to grant only a 3.2% increase, or less than half of the 6.6% increase.",3,7,2015-02-13-T-001-S-00007
2015-02-13-T-001,Lui Tuck Yew,Mr Lui Tuck Yew,"The remaining 3.4% was carried over to the fare review exercise for 2014. If you add this 3.4% to the negative 0.6% for the 2014 fare adjustment quantum, we therefore get a total fare adjustment quantum of 2.8% for the 2014 fare review exercise. In short, the current fare increase was due to the carry-over from the last exercise and the fall in oil prices in 2013 helped to mitigate this.",4,8,2015-02-13-T-001-S-00008
2015-02-13-T-001,Lui Tuck Yew,Mr Lui Tuck Yew,"The continued fall in oil prices in 2014 and the start of this year will generate some cost savings for the transport operators. I should point out, however, that energy costs comprise about 20% of the operating costs for the sector, which is why the Energy Index is only 20% of the fare formula. Other costs, which include salaries for bus drivers and other public transport workers, account for the remaining 80%, and these have continued to experience upward pressure. We also expect operating costs to go up when higher operating standards come into effect from 2016. Notwithstanding this, overall, we are likely to see a negative fare adjustment of about 1% for the fare review exercise in 2015, because the energy costs have come down significantly in 2014. The 2015 fare adjustment that we will do at the end of this year, will take into account all the indices of 2014.",5,9,2015-02-13-T-001-S-00009
2015-02-13-T-001,Lui Tuck Yew,Mr Lui Tuck Yew,"When deciding the fare adjustment, the Public Transport Council also has to ensure that the overall public transport system remains financially viable. Er Dr Lee has asked if the public transport operators could absorb the fare increase out of their profits. The fact is that operating buses and trains is not a highly profitable business; far from it.",6,10,2015-02-13-T-001-S-00010
