Date,Topic_CID,Order,Title,Subtitle,Section_Type,Question_Count
2020-04-07,2020-04-07-T-001,1,Number of Police Patrols Deployed at Little India on Weekends,,OA,
2020-04-07,2020-04-07-T-002,2,Assistance for Societies Holding AGMs or Governance Meetings during COVID-19 Outbreak,,OA,
2020-04-07,2020-04-07-T-003,3,Update on Return to Work Programme and Number of Workers Helped,,OA,
2020-04-07,2020-04-07-T-004,4,Screening Criteria for Foreign Domestic Workers beyond Mandatory Health Screening,In light of cases of children and elderly being abused while in the care of FDWs,OA,
2020-04-07,2020-04-07-T-005,5,Number of Offenders Nabbed Following Smoking Ban in Orchard Road Area,,OA,
2020-04-07,2020-04-07-T-006,6,Parliamentary Elections (COVID-19 Special Arrangements) Bill,,BI,
2020-04-07,2020-04-07-T-007,7,COVID-19 (Temporary Measures) Bill ,,BI,
2020-04-07,2020-04-07-T-008,8,Proceedings on Supply Business and Rearrangement of Business,Business Motion without Notice,OS,
2020-04-07,2020-04-07-T-009,9,Additional Support Measures in Response to COVID-19 Pandemic,Debate on Ministerial Statement,OS,
2020-04-07,2020-04-07-T-010,10,Time Limit for Deputy Prime Minister's Speech,Suspension of Standing Orders,OS,
2020-04-07,2020-04-07-T-011,11,Additional Support Measures in Response to COVID-19 Pandemic,Debate on Ministerial Statement,OS,
2020-04-07,2020-04-07-T-012,12,Amendments to Supplementary Estimates of Expenditure for FY20/21,Business Motion without Notice,OS,
2020-04-07,2020-04-07-T-013,13,Supplementary Estimates of Expenditure for the Financial Year 1 April 2020 to 31 March 2021,Committee of Supply – Paper Cmd 27 of 2020,OS,
2020-04-07,2020-04-07-T-014,14,Supplementary Supply (FY 2020) Bill,,BP,
2020-04-07,2020-04-07-T-015,15,Revised Supplementary Supply (FY 2020) Bill,,BI,
2020-04-07,2020-04-07-T-016,16,Revised Supplementary Supply (FY 2020) Bill,,BP,
2020-04-07,2020-04-07-T-017,17,COVID-19 (Temporary Measures) Bill,,BP,
2020-04-07,2020-04-07-T-018,18,Time Limit for Minister's Speech,Suspension of Standing Orders,OS,
2020-04-07,2020-04-07-T-019,19,COVID-19 (Temporary Measures) Bill,,BP,
2020-04-07,2020-04-07-T-020,20,Ministers to Speak More Than Once,Suspension of Standing Orders and Business Motion without Notice,OS,
2020-04-07,2020-04-07-T-021,21,COVID-19 (Temporary Measures) Bill,,BP,
2020-04-07,2020-04-07-T-022,22,Exempted Business,,OS,
2020-04-07,2020-04-07-T-023,23,COVID-19 (Temporary Measures) Bill,,BP,
2020-04-07,2020-04-07-T-024,24,Adjournment,,OS,
2020-04-07,2020-04-07-T-025,25,Cost of Building Cross Island Line and Measures to Ensure Minimal Impact on Central Catchment Nature Reserve and Affordability to Vulnerable Populations,,WA,1
2020-04-07,2020-04-07-T-026,26,"Number of Liquor Control Zone Breaches Reported, Liquor Licences Revoked and Plans to Further Reduce Number of Such Licences in Little India",,WA,1
2020-04-07,2020-04-07-T-027,27,Number of Downloads of Snapsafe App since 2017 and Top Three Unsafe Practices Reported via App,,WA,1
