mp_name,party,gender
Abdul Samad,NMP,M
Alex Yam,PAP,M
Alvin Tan,PAP,M
Alvin Yeo,PAP,M
Amrin Amin,PAP,M
Amy Khor Lean Suan,PAP,F
Ang Hin Kee,PAP,M
Ang Wei Neng,PAP,M
Anthea Ong,NMP,F
Arasu Duraisamy,NMP,M
Arthur Fong,PAP,M
Azmoon Ahmad,NMP,M
Baey Yam Keng,PAP,M
Benedict Tan,NMP,M
Carrie Tan,PAP,F
Cedric Foo Chee Keng,PAP,M
Chan Chun Sing,PAP,M
Charles Chong,PAP,M
Chee Hong Tat,PAP,M
Chen Show Mao,WP,M
Cheng Hsing Yao,NMP,M
Cheng Li Hui,PAP,F
Cheryl Chan Wei Ling,PAP,F
Chia Shi-Lu,PAP,M
Chia Yong Yong,NMP,F
Chong Kee Hiong,PAP,M
Christopher de Souza,PAP,M
Chua Kheng Wee Louis,WP,M
Daniel Goh Pei Siong,WP,M
Darryl David,PAP,M
David Ong,PAP,M
Denise Phua Lay Peng,PAP,F
Dennis Tan Lip Fong,WP,M
Derrick Goh,PAP,M
Desmond Choo,PAP,M
Desmond Lee,PAP,M
Desmond Tan,PAP,M
Don Wee,PAP,M
Douglas Foo,NMP,M
Dr Muhammad Faishal Ibrahim,PAP,M
Dr Yaacob Ibrahim,PAP,M
Edward Chia Bing Hui,PAP,M
Edwin Tong Chun Fai,PAP,M
Ellen Lee,PAP,F
Eric Chua,PAP,M
Faizah Jamal,NMP,F
Fatimah Lateef,PAP,F
Foo Mee Har,PAP,F
Gan Kim Yong,PAP,M
Gan Siow Huang,PAP,F
Gan Thiam Poh,PAP,M
Ganesh Rajaram,NMP,M
Gerald Giam Yean Song,WP,M
Goh Chok Tong,PAP,M
Grace Fu Hai Yien,PAP,F
Halimah Yacob,PAP,F
Hany Soh,PAP,F
Hawazi Daipi,PAP,M
Hazel Poa,PSP,F
He Ting Ru,WP,F
Heng Chee How,PAP,M
Heng Swee Keat,PAP,M
Hoon Hian Teck,NMP,M
Hri Kumar Nair,PAP,M
Inderjit Singh,PAP,M
Indranee Rajah,PAP,F
Intan Azura Mokhtar,PAP,F
Irene Ng Phek Hoong,PAP,F
Irene Quay Siew Ching,NMP,F
Jamus Jerome Lim,WP,M
Janet Ang,NMP,F
Janice Koh,NMP,F
Janil Puthucheary,PAP,M
Jessica Tan Soon Neo,PAP,F
Joan Pereira,PAP,F
Josephine Teo,PAP,F
K Karthikeyan,NMP,M
K Shanmugam,PAP,M
K Thanaletchimi,NMP,F
Keith Chua,NMP,M
Khaw Boon Wan,PAP,M
Koh Lian Pin,NMP,M
Koh Poh Koon,PAP,M
Kok Heng Leun,NMP,M
Kuik Shiao-Yin,NMP,F
Kwek Hian Chuan Henry,PAP,M
Lam Pin Min,PAP,M
Laurence Lien,NMP,M
Lawrence Wong,PAP,M
Lee Bee Wah,PAP,F
Lee Hsien Loong,PAP,M
Lee Kuan Yew,PAP,M
Lee Li Lian,WP,F
Lee Yi Shyan,PAP,M
Leon Perera,WP,M
Leong Mun Wai,PSP,M
Liang Eng Hwa,PAP,M
Lily Neo,PAP,F
Lim Biow Chuan,PAP,M
Lim Hng Kiang,PAP,M
Lim Sun Sun,NMP,F
Lim Swee Say,PAP,M
Lim Wee Kiak,PAP,M
Lina Chiam,SPP,F
Louis Ng Kok Kwang,PAP,M
Low Thia Khiang,WP,M
Low Yen Ling,PAP,M
Lui Tuck Yew,PAP,M
Mah Bow Tan,PAP,M
Mahdev Mohan,NMP,M
Mariam Jaafar,PAP,F
Mark Chay,NMP,M
Mark Lee,NMP,M
Mary Liew,NMP,F
Masagos Zulkifli B M M,PAP,M
Melvin Yong Yik Chye,PAP,M
Michael Palmer,PAP,M
Mohamad Maliki Bin Osman,PAP,M
Mohamed Irshad,NMP,M
Mohd Fahmi Aliman,PAP,M
Mohd Ismail Hussein,NMP,M
Muhamad Faisal Bin Abdul Manap,WP,M
Murali Pillai,PAP,M
Nadia Ahmad Samdin,PAP,F
Neil Parekh Nimil Rajnikant,NMP,M
Ng Chee Meng,PAP,M
Ng Eng Hen,PAP,M
Ng Ling Ling,PAP,F
Nicholas Fang,NMP,M
Ong Hua Han,NMP,M
Ong Teng Koon,PAP,M
Ong Ye Kung,PAP,M
Patrick Tay Teck Guan,PAP,M
Penny Low,PAP,F
Png Eng Huat,WP,M
Poh Li San,PAP,F
Pritam Singh,WP,M
R Dhinakaran,NMP,M
Rachel Ong,PAP,F
Raeesah Khan,WP,F
Rahayu Mahzam,PAP,F
Raj Joshua Thomas,NMP,M
Randolph Tan,NMP,M
Raymond Lim Siang Keat,PAP,M
Razwana Begum Abdul Rahim,NMP,M
Rita Soh Siow Lan,NMP,F
S Iswaran,PAP,M
Saktiandi Supaat,PAP,M
Sam Tan Chin Siong,PAP,M
Seah Kian Peng,PAP,M
See Jinli Jean,NMP,F
Seng Han Thong,PAP,M
Shahira Abdullah,NMP,F
Sharael Taha,PAP,M
Shawn Huang Wei Zhong,PAP,M
Sim Ann,PAP,F
Sitoh Yih Pin,PAP,M
Sun Xueling,PAP,F
Syed Harun Alhabsyi,NMP,M
Sylvia Lim,WP,F
Tan Chuan-Jin,PAP,M
Tan Kheng Boon Eugene,NMP,M
Tan Kiat How,PAP,M
Tan See Leng,PAP,M
Tan Su Shan,NMP,F
Tan Tai Yong,NMP,M
Tan Wu Meng,PAP,M
Tan Yia Swam,NMP,F
Teo Chee Hean,PAP,M
Teo Ho Pin,PAP,M
Teo Ser Luck,PAP,M
Teo Siong Seng,NMP,M
Terence Ho Wee San,NMP,M
Tharman Shanmugaratnam,PAP,M
Thomas Chua Kee Seng,NMP,M
Tin Pei Ling,PAP,F
Usha Chandradas,NMP,F
Vikram Nair,PAP,M
Vivian Balakrishnan,PAP,M
Walter Theseira,NMP,M
Wan Rizal,PAP,M
Wong Kan Seng,PAP,M
Xie Yao Quan,PAP,M
Yaacob Ibrahim,PAP,M
Yee Chia Hsing,PAP,M
Yee Jenn Jong,WP,M
Yeo Guat Kwang,PAP,M
Yeo Wan Ling,PAP,M
Yip Hon Weng,PAP,M
Yip Pin Xiu,NMP,F
Zainal Sapari,PAP,M
Zainudin Nordin,PAP,M
Zaqy Mohamad,PAP,M
Zhulkarnain Abdul Rahim,PAP,M
